symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,volume_change_pct
GUNUSDC,0.00187,7.537,0.02630509,0.02482,0.02668,7625159.0,200580.49206,0.02698,0.02395,920,Spot Only,4957.3
VANRYUSDC,0.0025,8.475,0.03164022,0.0296,0.032,10520331.0,332865.5752,0.033,0.0284,2037,Spot Only,2098.8
GUNFDUSD,0.00198,7.987,0.02578119,0.0248,0.02677,4304139.0,110965.82569,0.02701,0.02404,1623,Spot Only,2080.4
POLFDUSD,0.0118,4.979,0.24996508,0.2377,0.2488,2254890.6,563643.90408,0.2568,0.2317,2793,Spot Only,1270.5
COSUSDT,0.000193,5.692,0.00351329,0.003393,0.003584,567906565.0,1995220.0841221,0.00365,0.003297,29185,Spot Only,863.1
PENGUFDUSD,0.004884,15.821,0.03381649,0.03088,0.035754,31953032.0,1080539.517459,0.03706,0.028921,16981,Spot Only,814.5
GUNUSDT,0.00191,7.711,0.02567568,0.02478,0.02668,75696298.0,1943554.12064,0.02699,0.02392,31298,Spot Only,744.1
MDTUSDT,0.00052,1.826,0.02856523,0.02847,0.02899,82573189.8,2358722.144018,0.03,0.02728,25287,Spot Only,697.4
NEIROFDUSD,4.252e-05,11.719,0.00038504,0.0003636,0.00040534,1000616385.0,385280.52717411,0.000426,0.00034475,5812,Spot Only,671.4
XRPTUSD,0.183,6.389,3.00835467,2.8685,3.0473,47866.9,144000.61198,3.1029,2.7878,487,Spot Only,549.5
FORMUSDC,-0.0495,-1.387,3.54699688,3.567,3.5199,52624.9,186660.35602,3.6394,3.4667,1139,Spot Only,547.8
TONUSDT,0.091,2.776,3.34243967,3.278,3.369,11195258.9,37419477.47083,3.442,3.204,155087,Spot Only,456.0
HIVEUSDT,0.0108,5.299,0.2112292,0.2041,0.2146,5819479.0,1229243.9078,0.2188,0.1992,18963,Spot Only,404.6
ZENUSDC,0.64,8.355,8.04282844,7.682,8.3,42570.81,342389.72121,8.495,7.467,1991,Spot Only,383.0
ALTUSDC,0.00315,9.375,0.035487,0.03371,0.03675,12514652.0,444107.41585,0.03841,0.03215,2940,Spot Only,374.5
